,track_id,track_name,popularity,playlist_id,danceability,energy,acousticness,valence,tempo,mood
0,4uGucgzv0ydi35DgAlsTQ4,Jump (feat. Nelly Furtado),45,3,0.731,0.813,0.00439,0.509,130.028,1
1,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,70,8,0.857,0.517,0.565,0.75,129.063,0
2,5tRZJO2Tc3sxnPD1KiPka3,Animal,21,39,0.752,0.795,0.0794,0.415,140.017,2
3,3UygY7qW2cvG9Llkay6i1i,Going Under,60,25,0.36700000000000005,0.86,0.00744,0.46299999999999997,175.021,1
4,6Nr3yqX7OeSIlvuxCqxx2A,Voices - Markus Maximus TRAP Remix,2,21,0.642,0.7709999999999999,0.0111,0.237,144.941,2
5,0BO1a9WQ1qCwORuIkFKjjC,A Word From Our Sponsor,31,8,0.6990000000000001,0.461,0.816,0.698,128.447,2
6,6Xi897JXNLSoIaoYZwgTLc,Dímelo,67,11,0.5660000000000001,0.444,0.0522,0.16899999999999998,146.991,2
7,50cSs6d03KV85oKytBmin9,Piercing Light (feat. Mako),60,35,0.27399999999999997,0.609,0.24600000000000002,0.354,124.96,3
8,1cQVQ3a5ivU9NVkr1nUvES,Ghosts 'n' Stuff - Nero Mix,36,11,0.491,0.536,0.00023799999999999998,0.0571,139.998,1
9,2tdseeP2TePM98X6Jcwf1C,Don't Stop the Party,50,3,0.7140000000000001,0.9520000000000001,0.0073,0.958,127.008,4
10,0seqAc1hq6Rzbqhe75MNvr,Boomerang,33,21,0.392,0.845,1.2e-05,0.225,139.967,1
11,1CvCdoP0Dqx8qrdt2ZdMH6,When I'm Gone - Album Version (Edited),28,20,0.64,0.736,0.0502,0.7390000000000001,75.15899999999999,0
12,1teaQnt8eVGBy0DoLZJulu,Dicks out for Harambe (Remix) [feat. Baked Alaska],35,10,0.738,0.69,0.102,0.568,99.87100000000001,1
13,6OtCIsQZ64Vs1EbzztvAv4,Good Life,62,15,0.636,0.6990000000000001,0.0929,0.642,94.96600000000001,4
14,3KteDPcUSCl85cyDZiUBR5,Comin' Up,27,17,0.515,0.726,0.0773,0.7390000000000001,171.72400000000002,2
15,5cj8mnNuhZ4KZhxjSLTrQi,Siren - Extended Mix,9,5,0.625,0.863,0.0997,0.423,126.02600000000001,1
16,1ShWHEgisDGPl9G3g85ANu,Breakn' A Sweat,57,21,0.596,0.9209999999999999,0.0049,0.23199999999999998,139.969,2
17,1ti43ZT6bc4o1eGOSnBHkO,Speakerbox (feat. Lafa Taylor),61,18,0.507,0.934,0.00943,0.47200000000000003,175.954,2
18,19MbwSLaYgAtyicNUMYYgl,Empathy,41,21,0.36700000000000005,0.9740000000000001,1.57e-05,0.304,139.945,1
19,0TyOpxlWwDx98bjkIVHUgY,In My Head,59,15,0.762,0.748,0.0266,0.8370000000000001,110.009,3
20,7LGrlydlwonTN6iz8x5ASe,Dare You - Radio Edit,46,16,0.456,0.89,0.0169,0.182,127.89399999999999,4
21,4f13AaRyukUTWleyKXaRDh,Smoke Filled Room,59,0,0.574,0.731,0.024,0.39299999999999996,127.925,3
22,7lZni8yv8FMx7120C7uF1V,Exogenesis,33,21,0.5589999999999999,0.915,0.0011099999999999999,0.0531,140.08100000000002,2
23,7wAtUSgh6wN5ZmuPRRXHyL,Flesh and Bones,41,34,0.612,0.578,0.0544,0.486,139.998,3
24,5wd14CMjlqbSjibnpoTgla,Enigma (feat. GRRL PAL),55,3,0.631,0.909,0.00683,0.636,153.931,2
25,4YPhn26bIFm2KUkL1VLzQG,Say It Ain't So,66,32,0.635,0.435,0.00328,0.445,76.098,0
26,3nzL5CIQiCEt6jRt1AlQ9d,Whatever It Takes,48,31,0.439,0.884,0.00678,0.503,150.049,4
27,0O5pYfp9enRuEqwz2b7afL,The Knowing,35,29,0.45899999999999996,0.557,0.586,0.115,85.971,3
28,0nCZDQrlWA149QdGTdlsFU,One Day - New Album Version,59,29,0.34600000000000003,0.61,0.198,0.237,68.55199999999999,4
29,5rb9QrpfcKFHM1EUbSIurX,Yeah!,76,19,0.894,0.7909999999999999,0.0183,0.594,105.01799999999999,2
